"TARGET";"acqua";"alarm";"alcool";"allarm";"apertura";"aria";"arm";"asciugatura";"autosanificazion";"cambio";"canal";"carico";"ciclo";"complet";"completa";"detergent";"detersion";"dinamica";"disconnesso";"disinfect";"disinfezion";"fast";"fine";"flow";"giri";"ingresso";"irregolar";"liquido";"massima";"minima";"miscelazion";"numero";"otturato";"perdita";"prelievo";"pression";"pulsant";"regolar";"risciacquo";"scarico";"scollegato";"selfdisinfect";"sensor";"sovrappression";"spray";"spruzzator";"ster";"steril";"sterilizzant";"sterilizzazion";"stop";"tanica";"temperatura";"temperaturac";"tenuta";"test";"timeout";"tipo";"valvol";"vasca";"velo";"veloc"
"neg";0;0;0;0;0;0;0;0,019349400790728;0,019349400790728;0;0;0;0;0;0,0113379322179416;0,0113379322179416;0,0113379322179416;0,00763547404540539;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0152709480908108;0;0;0;0;0;0;0;0;0;0;0;0,019349400790728
"pos";0;0;0;0,0185375731078498;0;0;0;0,0146755787103811;0,0146755787103811;0;0,0185375731078498;0;0;0;0,00831807199668022;0,00831807199668022;0,00831807199668022;0,00787634431711795;0;0;0,0146755787103811;0;0;0;0;0;0,0185375731078498;0;0;0;0,0146755787103811;0;0,0185375731078498;0;0;0;0;0,00447808052234014;0,0102874822810517;0,0176702636827476;0;0;0;0;0;0;0;0;0,00895616104468028;0,00837649486042288;0;0;0;0;0;0;0;0;0;0;0;0,0146755787103811
"neg";0;0;0;0,010507977645208;0;0;0;0,0179511284772302;0,0179511284772302;0;0,010507977645208;0;0;0;0,00987741558440977;0,00987741558440977;0,00987741558440977;0,00626810934268825;0;0;0,0179511284772302;0;0;0;0;0;0,010507977645208;0;0;0;0,0179511284772302;0;0,010507977645208;0;0;0;0;0,00702549160880859;0;0;0;0;0;0;0;0;0;0;0;0,0125362186853765;0;0;0;0;0;0;0;0;0;0;0;0,0179511284772302
"neg";0;0;0;0;0;0;0;0;0,019349400790728;0;0;0;0;0;0,0146880899431929;0,0146880899431929;0,0146880899431929;0,0087278283502796;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0174556567005592;0;0;0;0;0;0;0;0;0;0;0;0,0211508495181978
"neg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pos";0;0;0;0,0282163742690058;0;0;0;0,0179511284772302;0,0286173784852431;0;0;0;0;0;0,0206765238510632;0,0206765238510632;0,0206765238510632;0,0177800280529617;0;0;0,0179511284772302;0;0;0;0;0;0,0282163742690058;0;0,0271112006702303;0;0,0179511284772302;0;0;0;0;0;0;0,0181623931623932;0,0267094017094017;0,0491452991452991;0;0;0;0;0;0;0;0;0,0309980128587279;0,0231300961823615;0;0;0,0271112006702303;0,0224358974358974;0;0;0,0287218055635684;0;0;0;0;0,0242147048721288
"neg";0;0;0;0,025;0;0;0;0,0215203619681991;0,0270833333333333;0;0;0;0;0;0,0128205128205128;0,0128205128205128;0,0128205128205128;0,00947136857328643;0;0;0,015625;0;0;0;0;0;0,025;0;0;0;0,015625;0;0;0;0;0;0;0,00539961925194311;0,0103392366350815;0,0182086645785938;0;0;0;0;0;0;0;0;0,0107992385038862;0,0189427371465729;0;0;0;0,00786942794351229;0;0;0,025;0;0;0;0;0,02
"neg";0;0;0;0;0;0;0;0,0208333333333333;0,0208333333333333;0;0;0;0;0;0,0128205128205128;0,0128205128205128;0,0128205128205128;0,0128205128205128;0;0;0,0208333333333333;0;0;0;0;0;0;0;0;0;0,0208333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0256410256410256;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0,0309590412651648;0;0;0;0,00883513771524205;0,0286417753892262;0;0;0;0;0;0,0146880899431929;0,0146880899431929;0,0146880899431929;0,0140842313551764;0;0;0,019349400790728;0;0;0;0;0;0,0309590412651648;0;0,0309590412651648;0;0,019349400790728;0;0;0;0;0;0;0,00883513771524205;0,0124121165473239;0,0248242330946477;0;0;0;0;0;0;0;0;0,0176702754304841;0,0281684627103528;0;0;0,0309590412651648;0,0124121165473239;0;0;0;0;0;0;0;0,0185754247590989
"neg";0;0;0;0,0182295774159585;0;0;0;0,00767783359375832;0,0167104459646286;0;0;0;0;0;0;0;0;0,00779817581309623;0;0;0,0167104459646286;0;0;0;0;0;0,0182295774159585;0,0182295774159585;0;0;0,0167104459646286;0;0;0,0182295774159585;0;0;0;0,00767783359375832;0,00767783359375832;0,0153556671875166;0;0;0;0;0;0;0;0;0;0,0155963516261925;0;0;0;0;0;0;0;0;0;0;0;0,00779817581309623
"neg";0,0407515833449639;0;0;0;0;0;0;0,0136488878519201;0,015625;0,00892857142857143;0;0,078812405161703;0;0;0,0140380704293536;0,0140380704293536;0,0140380704293536;0,0149206349206349;0;0;0,015625;0;0,0136488878519201;0;0;0;0;0;0;0;0,015625;0,0884398437049277;0;0;0;0;0,0884398437049277;0,0136488878519201;0,0203757916724819;0,0407515833449639;0;0;0;0;0;0;0;0;0,0313339179961772;0,0298412698412698;0,0884398437049277;0,00892857142857143;0;0,0203757916724819;0;0;0;0,0136488878519201;0;0;0;0,015
"neg";0;0;0;0,0185375731078498;0;0;0;0,0146755787103811;0,022735568972227;0;0;0;0;0;0,0103639189497427;0,0103639189497427;0,0103639189497427;0,00810230501474019;0;0;0,0146755787103811;0;0;0;0;0;0,0202240817020391;0;0;0;0,0146755787103811;0;0;0;0;0;0,0110066840327858;0,00852194631032434;0,00942514920749293;0,0164297143488561;0;0;0;0;0;0;0;0;0;0,0162046100294804;0,0110066840327858;0;0;0,00759458250748227;0;0;0,0185375731078498;0;0;0;0;0,0146755787103811
"pos";0;0;0;0;0;0;0;0;0,0138413670620307;0;0;0;0;0,0100055894716897;0;0,0100055894716897;0,0100055894716897;0,00417164045343637;0;0;0,0138413670620307;0,0185754247590989;0;0;0;0;0;0;0;0;0,0138413670620307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00417164045343637;0;0,00417164045343637;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0,0291376944577021;0;0;0;0,0179511284772302;0,0179511284772302;0;0,0344661666762821;0;0;0;0,0104538753042631;0,0104538753042631;0,0104538753042631;0,00645425527290692;0;0;0,0179511284772302;0;0;0;0;0;0,0185712777862277;0,0130553661652584;0;0;0,0179511284772302;0;0;0,0130553661652584;0;0;0;0,0115617588283562;0,0132717923300948;0,0231713486879614;0,0344661666762821;0;0;0;0;0;0;0;0;0,0129085105458138;0;0;0;0;0;0;0;0;0;0;0;0,017233083338141
"neg";0;0;0;0;0;0;0;0,0167104459646286;0,0167104459646286;0;0;0;0;0;0,00488774552387798;0,00488774552387798;0,00488774552387798;0,00488774552387798;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00977549104775596;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,019349400790728;0,019349400790728;0;0;0;0;0;0,00660365322845871;0,00660365322845871;0,00660365322845871;0,00660365322845871;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0132073064569174;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,019349400790728;0,019349400790728;0,0103196804217216;0;0;0;0;0,012654354412597;0,012654354412597;0,012654354412597;0,00844717308807011;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0168943461761402;0;0,0103196804217216;0;0;0;0;0;0;0;0;0;0,0220321349147894
"neg";0;0;0;0;0;0;0;0,0212463444660859;0,0167104459646286;0;0;0;0;0;0,0118293761473642;0,0118293761473642;0,0118293761473642;0,0058001246883352;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0116002493766704;0;0;0;0;0;0;0;0;0;0;0;0,0206554848235155
"neg";0;0;0;0;0;0;0;0,019349400790728;0,019349400790728;0;0;0;0;0;0,0113379322179416;0,0113379322179416;0,0113379322179416;0,00763547404540539;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0,019349400790728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0152709480908108;0;0;0;0;0;0;0;0;0;0;0;0,019349400790728
"neg";0;0;0;0,0221136009036892;0;0;0;0,00848045876557502;0,0201906790859771;0;0;0;0;0,00874706588349416;0;0,00874706588349416;0,00874706588349416;0,0130052751911683;0;0;0,0201906790859771;0;0;0;0;0;0,0221136009036892;0;0;0;0,0201906790859771;0;0;0;0;0,0221136009036892;0;0,00848045876557502;0,0141615427929991;0;0;0;0;0;0;0;0;0,00874706588349416;0,01696091753115;0,0130052751911683;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,0220133680655716;0,0220133680655716;0;0;0;0;0;0,00999935898668643;0,00999935898668643;0,00999935898668643;0,00999935898668643;0;0;0,0220133680655716;0;0;0;0;0;0;0;0;0;0,0220133680655716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0199987179733729;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0;0,0179511284772302;0;0;0;0;0;0,00608875939430078;0,00608875939430078;0,00608875939430078;0,00608875939430078;0;0;0,0179511284772302;0;0;0;0;0;0;0;0;0;0,0179511284772302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0121775187886016;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0;0,0174369870935255;0;0;0;0;0,00560653163033062;0;0,00560653163033062;0,00560653163033062;0,00560653163033062;0;0;0,0174369870935255;0;0;0;0;0;0;0;0;0;0,0174369870935255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00560653163033062;0;0,00560653163033062;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,0125;0,0125;0,0125;0;0;0;0;0,00798149037074699;0,00798149037074699;0,00798149037074699;0,00470807281830374;0;0;0,0125;0;0;0;0;0;0;0;0;0;0,0125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00941614563660749;0;0,0125;0;0;0;0;0;0;0;0;0;0,015625
"pos";0;0;0;0;0;0;0;0;0;0;0;0;0;0,00864661456830924;0;0,00864661456830924;0,00864661456830924;0;0;0;0;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pos";0;0;0;0;0;0;0;0;0,0167104459646286;0;0;0;0;0;0,00963148466607622;0,00963148466607622;0,00963148466607622;0,00568336187859812;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0,0167104459646286;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0113667237571962;0;0;0;0;0;0;0;0;0;0;0;0,0160420281260435
"pos";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00999935898668643;0,00999935898668643;0,00999935898668643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0220133680655716
"neg";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"pos";0;0;0;0,0197368421052632;0;0;0;0,0215203619681991;0,015625;0;0;0;0;0;0,0131542289284672;0,0131542289284672;0,0131542289284672;0,00947136857328643;0;0;0,015625;0;0;0;0;0;0,0197368421052632;0;0;0;0,015625;0;0;0;0;0;0;0,00539961925194311;0,0103392366350815;0;0;0;0;0;0;0;0;0;0,0107992385038862;0,0100599207705547;0;0;0;0;0;0;0;0;0;0;0;0,02
"neg";0;0;0;0;0;0;0;0,0179511284772302;0,0179511284772302;0;0;0;0;0;0,00562039328704688;0,00562039328704688;0,00562039328704688;0,00562039328704688;0;0;0,0179511284772302;0;0;0;0;0;0;0;0;0;0,0179511284772302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0112407865740938;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0,0145458805664857;0;0;0,0197368421052632;0;0;0;0,0112519324169766;0,016304347826087;0,0234375;0;0,0291802928783493;0;0,0243485552115583;0;0,019714144726795;0,019714144726795;0,0146977902226468;0;0;0,016304347826087;0,0202674641823793;0;0;0,0197368421052632;0;0,0339912280701754;0;0;0;0,016304347826087;0;0;0;0;0;0,03125;0,0112519324169766;0,0143036787352034;0,0286073574704068;0;0;0,0197368421052632;0;0;0,0197368421052632;0;0,00744986871412782;0,0257463452970692;0,0146977902226468;0,03125;0,0234375;0;0;0;0;0;0;0;0;0;0
"pos";0;0;0;0,0215413541726763;0;0;0;0,00596698420641477;0;0,0107706770863382;0;0;0;0;0;0;0;0,00596698420641477;0;0;0;0;0;0;0,0215413541726763;0;0,0215413541726763;0;0;0;0;0;0;0;0;0;0;0,00596698420641477;0,0119339684128295;0,0238679368256591;0;0;0,0215413541726763;0;0;0,0215413541726763;0;0;0,0130299451038037;0,00596698420641477;0;0,0107706770863382;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,0220133680655716;0,0220133680655716;0;0;0;0;0;0;0;0;0,0162489583533654;0;0;0,0220133680655716;0;0;0;0;0;0;0;0;0;0,0220133680655716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0324979167067309;0;0;0;0;0;0;0;0;0;0;0;0,0162489583533654
"neg";0;0;0;0,0287218055635684;0;0;0;0,00723344616042933;0,0286173784852431;0;0;0;0;0;0,0138888888888889;0,0138888888888889;0,0138888888888889;0,0120242291814904;0;0;0,0179511284772302;0;0;0;0;0;0,0287218055635684;0;0,0287218055635684;0;0,0179511284772302;0;0;0;0;0;0;0,00723344616042933;0,0108867017970098;0,0217734035940196;0;0;0;0;0;0;0;0;0,0144668923208587;0,0240484583629809;0;0;0,0287218055635684;0,0108867017970098;0;0;0;0;0;0;0;0,017233083338141
"neg";0;0,0205155754025489;0;0;0;0;0;0;0,0205155754025489;0;0;0;0;0;0,00562039328704688;0,00562039328704688;0,00562039328704688;0,00562039328704688;0;0;0,0205155754025489;0;0;0,0205155754025489;0;0;0,0205155754025489;0;0;0;0,0205155754025489;0;0;0;0;0;0;0,00562039328704688;0,0168611798611406;0,0281019664352344;0;0,0205155754025489;0;0;0;0;0;0;0;0,0112407865740938;0;0;0;0;0;0;0;0;0;0;0;0
"neg";0;0;0;0;0;0;0;0,0208333333333333;0,0208333333333333;0;0;0;0;0;0;0;0;0,0208333333333333;0;0;0,0208333333333333;0;0;0;0;0;0;0;0;0;0,0208333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0416666666666667;0;0;0;0;0;0;0;0;0;0;0;0,0208333333333333
